FID,postcode,pc_name,pa_fips,city_town,county,area_sqmi
174,2481,WELLESLEY HILLS,74315,"WELLESLEY, TOWN OF",NORFOLK,5.9040674
175,2176,MELROSE,40115,MELROSE,MIDDLESEX,4.76891454
176,1104,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,5.82433271
177,2664,SOUTH YARMOUTH,66035,"YARMOUTH, TOWN OF",BARNSTABLE,7.27037416
178,2538,EAST WAREHAM,20765,"WAREHAM, TOWN OF",PLYMOUTH,7.15540936
179,2655,OSTERVILLE,51510,BARNSTABLE,BARNSTABLE,6.6879147
180,1605,WORCESTER,82000,WORCESTER,WORCESTER,6.02581551
181,1604,WORCESTER,82000,WORCESTER,WORCESTER,6.95478238
182,1349,MILLERS FALLS,41410,"MONTAGUE, TOWN OF",FRANKLIN,6.79667982
183,2644,FORESTDALE,24190,"SANDWICH, TOWN OF",BARNSTABLE,6.76138228
184,2420,LEXINGTON,35250,"LEXINGTON, TOWN OF",MIDDLESEX,6.72985299
185,1013,CHICOPEE,13660,CHICOPEE,HAMPDEN,6.17874852
186,2721,FALL RIVER,23000,FALL RIVER,BRISTOL,5.75393712
187,2635,COTUIT,15515,BARNSTABLE,BARNSTABLE,5.69000413
188,2740,NEW BEDFORD,45000,NEW BEDFORD,BRISTOL,5.63284471
189,1109,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,5.49722773
190,1747,HOPEDALE,30980,"HOPEDALE, TOWN OF",WORCESTER,5.43176771
191,1754,MAYNARD,39660,"MAYNARD, TOWN OF",MIDDLESEX,5.3755576
192,2132,WEST ROXBURY,77710,BOSTON,SUFFOLK,5.35024886
193,1026,CUMMINGTON,16005,"WINDSOR, TOWN OF",BERKSHIRE,5.21486287
194,1022,CHICOPEE,13660,CHICOPEE,HAMPDEN,5.13362779
195,2459,NEWTON CENTER,45595,NEWTON,MIDDLESEX,5.0984046
196,2148,MALDEN,37875,MALDEN,MIDDLESEX,5.06604148
197,2559,POCASSET,54450,"BOURNE, TOWN OF",BARNSTABLE,5.0456276
198,1529,MILLVILLE,41620,"MILLVILLE, TOWN OF",WORCESTER,5.04278197
199,2128,EAST BOSTON,18280,BOSTON,SUFFOLK,5.03662929
200,1070,PLAINFIELD,53995,"PLAINFIELD, TOWN OF",HAMPSHIRE,19.14670368
201,2021,CANTON,11350,"CANTON, TOWN OF",NORFOLK,19.02226963
202,2364,KINGSTON,33185,"KINGSTON, TOWN OF",PLYMOUTH,18.95810695
203,2726,SOMERSET,62465,"SOMERSET, TOWN OF",BRISTOL,5.81406387
204,1088,WEST HATFIELD,76485,"HATFIELD, TOWN OF",HAMPSHIRE,5.80545988
205,1602,WORCESTER,82000,WORCESTER,WORCESTER,5.79556491
206,2638,DENNIS,16740,"DENNIS, TOWN OF",BARNSTABLE,5.75782751
207,2322,AVON,2970,"AVON, TOWN OF",NORFOLK,4.51614029
208,1608,WORCESTER,82000,WORCESTER,WORCESTER,0.44601513
209,1434,DEVENS,16840,"HARVARD, TOWN OF",WORCESTER,4.49453182
210,1945,MARBLEHEAD,38435,"MARBLEHEAD, TOWN OF",ESSEX,4.4646786
211,12125,NEW LEBANON,50441,"HANCOCK, TOWN OF",BERKSHIRE,4.46073947
212,1721,ASHLAND,2165,"ASHLAND, TOWN OF",MIDDLESEX,12.88951639
213,2136,HYDE PARK,31960,BOSTON,SUFFOLK,4.44098684
214,2630,BARNSTABLE,3600,BARNSTABLE,BARNSTABLE,4.29315241
215,2556,NORTH FALMOUTH,47730,"FALMOUTH, TOWN OF",BARNSTABLE,4.24815583
216,1060,NORTHAMPTON,46330,NORTHAMPTON,HAMPSHIRE,12.61519461
217,1342,DEERFIELD,16635,"DEERFIELD, TOWN OF",FRANKLIN,19.72516246
