month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202101,mississippi,ms,220050,-0.0063,0.1063,5249,-0.0851,-0.4454,92,0.0952,-0.1238,1708,0.1266,-0.2625,248,1.2143,1.2963,768,0.0267,-0.5077,3142,-0.0629,0.4439,104.5454545,0.01,0.088,2000,-0.001,0.0145,298673,0.0081,0.1504,8391,-0.0769,-0.2792,0.5986,0.0141,0.3687
202101,washington,wa,525050,0.0501,0.1532,5574,-0.2103,-0.5196,56,0.037,-0.2727,5332,0.2162,0.1383,552,-0.3202,0.0698,844,-0.4251,-0.5373,11534,-0.1502,0.4583,275.3303965,0.0302,0.2453,1804,-0.0115,-0.1091,798636,0.0694,0.2345,17108,-0.1708,-0.1233,2.0693,0.1462,1.3877
202101,missouri,mo,227550,0.0581,0.1461,10079,-0.1469,-0.4715,78,0.2,-0.1475,4444,0.0137,-0.1873,636,0.963,2.2449,1564,-0.2678,-0.5094,10608,-0.0932,0.3927,120.4435873,0.0274,0.1103,1785,0.0113,0.0279,333287,0.058,0.2145,20687,-0.1202,-0.2249,1.0525,0.0623,0.6531
202101,massachusetts,ma,639950,0.05,0.2427,7111,-0.2094,-0.4125,71,0.1181,-0.2111,4320,0.2027,-0.1212,232,0.2889,0.45,1008,-0.2455,-0.5281,2518,-0.5713,0.3422,355.2492047,0.0397,0.3323,1791,0.0133,-0.0539,1179686,0.0675,0.3887,9629,-0.3524,-0.3112,0.3541,-0.299,0.1991
202101,kentucky,ky,224950,0.0156,0.1247,6253,-0.119,-0.4982,71,0.1452,-0.1977,2496,-0.0824,-0.354,100,-0.1379,0.087,1284,-0.1371,-0.4929,6770,-0.0851,0.3575,114.9425287,-0.0059,0.1003,1796,0.0053,-0.0164,313690,0.0059,0.1258,13023,-0.1017,-0.2536,1.0827,0.0401,0.6824
202101,ohio,oh,189950,0.0048,0.0759,12827,-0.1462,-0.4905,65,0.1504,-0.1772,6724,-0.0024,-0.3222,272,-0.3818,-0.15,3064,-0.2505,-0.5074,15005,-0.1511,0.1879,101.4423077,-0.0012,0.0871,1583,-0.0261,-0.0487,297274,0.0477,0.1641,27832,-0.1489,-0.2639,1.1698,-0.0067,0.6681
202101,new hampshire,nh,399050,0.0528,0.1649,1452,-0.2244,-0.5964,70,0.2069,-0.3427,932,0.0175,-0.137,76,0.2667,0.3571,160,-0.4521,-0.6552,1354,-0.2082,0.0746,217.202381,0.0845,0.259,1860,-0.0032,-0.0353,576937,0.096,0.2723,2806,-0.2166,-0.4224,0.9325,0.019,0.5823
202101,tennessee,tn,325050,0.0317,0.1353,10294,-0.1435,-0.5453,58,0.16,-0.2318,5832,0.0946,-0.3168,828,0.0725,0.6299,1872,-0.2427,-0.5993,11184,-0.0986,0.3455,151.6634051,0.0339,0.1805,1839,-0.0078,-0.0805,494181,0.0476,0.215,21478,-0.1207,-0.3061,1.0865,0.0541,0.7193
202101,utah,ut,589950,0.0726,0.3592,3299,-0.1673,-0.6428,66,0.1478,-0.1592,2332,0.0139,-0.3352,304,0.0411,-0.4865,388,-0.4121,-0.7712,7527,-0.0934,0.3506,219.8932927,0.0356,0.3301,2550,0.0127,-0.0321,1270189,0.125,0.601,10826,-0.1173,-0.2689,2.2816,0.1862,1.6781
202012,west virginia,wv,165050,-0.0251,0.0036,3975,-0.0693,-0.4563,85,0.0897,-0.2308,872,-0.2733,-0.0522,80,1,1,584,-0.3048,-0.2626,2335,-0.1396,0.6667,84.80647401,0.0096,0.0203,1613,0.005,-0.0321,246915,-0.0038,0.0938,6310,-0.0966,-0.2757,0.5874,-0.048,0.3958
202012,nevada,nv,350049,0,0.0449,8290,-0.1076,-0.2799,51.5,0.1705,-0.2137,3280,-0.1106,0.0608,332,-0.0978,0.4561,1556,-0.2619,-0.3029,1625,-0.1726,0.1674,193.2094961,0.0069,0.0743,1818.5,-0.0146,-0.0194,624595,0.013,0.0414,9915,-0.119,-0.2316,0.196,-0.0154,0.0751
202012,north dakota,nd,236300,-0.0154,0.0477,2340,-0.0707,-0.2769,87.5,0.1513,-0.125,460,-0.2123,-0.0086,20,-0.1667,-0.2857,312,-0.3445,0.0541,807,-0.2127,0.8724,114.5625,6.00E-04,0.0388,2081,5.00E-04,-0.005,279793,0.0021,0.0349,3147,-0.1118,-0.1418,0.3449,-0.0622,0.2117
202012,iowa,ia,214950,0,0.1008,8690,-0.099,-0.3749,77,0.1,-0.0833,2016,-0.3244,-0.2653,440,0.0577,0.8966,1816,-0.2972,-0.2471,6139,-0.1226,0.595,130.6116255,0.0046,0.089,1576,-0.0107,-0.0054,254554,0.0013,0.0752,14829,-0.1089,-0.1646,0.7064,-0.019,0.4296
202012,arizona,az,389050,-0.0019,0.1116,9646,-0.1391,-0.5272,46,0.0952,-0.264,6256,-0.2168,-0.0515,688,-0.181,-0.0995,2560,-0.3476,-0.4992,15735,-0.1181,0.3328,204.5280035,0.0039,0.1637,1963.5,-0.0086,-0.0574,669418,0.0171,0.1903,25381,-0.1262,-0.212,1.6312,0.0389,1.0526
202012,california,ca,727050,-0.002,0.304,43240,-0.155,-0.3415,56,0.1915,-0.1884,22376,-0.2467,0.2251,1436,-0.0627,0.1656,6628,-0.3704,-0.3474,50694,-0.1061,0.347,420.875,4.00E-04,0.3904,1804,-0.0047,-0.0259,1607726,0.0409,0.3146,93934,-0.1293,-0.0907,1.1724,0.0641,0.5992
202012,district of columbia,dc,607049.5,0.0118,-0.1202,1708,-0.1136,0.2939,52,0.253,0,620,-0.3202,0.7033,12,-0.25,0.5,332,-0.314,0.8043,1052,-0.0978,3.5939,581.6768988,6.00E-04,0.1672,1054,0.0024,-0.2461,950532,0.0268,-0.0556,2760,-0.1077,0.7818,0.6159,0.0108,0.4424
202012,oklahoma,ok,220000,-0.0206,0.0526,7639,-0.0809,-0.4346,60,0.0811,-0.1781,2720,-0.2511,-0.1856,204,0.2439,0.3421,1360,-0.2842,-0.3385,6768,-0.072,2.2445,111.4060806,-5.00E-04,0.0628,1884.5,-0.0128,-0.021,315741,-0.002,0.005,14407,-0.0767,-0.0762,0.886,0.0085,0.7316
202012,oregon,or,473500,-0.0033,0.1314,5624,-0.1731,-0.5531,59.5,0.1019,-0.2516,2992,-0.2233,0.0346,1980,0.0668,0.988,2260,-0.1894,-0.3659,8942,-0.1628,0.369,249.0123527,0.0126,0.154,1923.5,-0.0283,-0.0194,643033,-0.0021,0.1652,14566,-0.1668,-0.2381,1.59,0.0195,1.0709
